source program: DIGISIM WINDOWS
program version: 3.05
file type: CV

experimental parameters:
Estart (V): 1.000
Eswitch (V): -0.800
Eend (V): 1.000
v (V/s): 5.000e-002
temperature (K): 298.2
Ru (Ohms): 0
Cdl (F): 0
cycles: 1

experimental CV curve:
number of E(V), I(A) couples: 3600
0.747, -3.358e-007
0.746, -3.405e-007
0.745, -3.465e-007
0.744, -3.465e-007
0.743, -3.545e-007
0.742, -3.668e-007
0.741, -3.552e-007
0.740, -3.596e-007
0.739, -3.642e-007
0.738, -3.695e-007
0.737, -3.695e-007
0.736, -3.667e-007
0.735, -3.734e-007
0.734, -3.763e-007
0.733, -3.846e-007
0.732, -3.875e-007
0.731, -3.820e-007
0.730, -3.853e-007
0.729, -3.870e-007
0.728, -3.977e-007
0.727, -3.999e-007
0.726, -4.048e-007
0.725, -4.067e-007
0.724, -4.068e-007
0.723, -4.111e-007
0.722, -4.181e-007
0.721, -4.188e-007
0.720, -4.248e-007
0.719, -4.269e-007
0.718, -4.237e-007
0.717, -4.500e-007
0.716, -4.434e-007
0.715, -4.359e-007
0.714, -4.386e-007
0.713, -4.427e-007
0.712, -4.362e-007
0.711, -4.451e-007
0.710, -4.432e-007
0.709, -4.494e-007
0.708, -4.542e-007
0.707, -4.586e-007
0.706, -4.615e-007
0.705, -4.626e-007
0.704, -4.600e-007
0.703, -4.674e-007
0.702, -4.693e-007
0.701, -4.735e-007
0.700, -4.789e-007
0.699, -4.784e-007
0.698, -4.820e-007
0.697, -4.825e-007
0.696, -4.846e-007
0.695, -4.906e-007
0.694, -4.943e-007
0.693, -4.945e-007
0.692, -5.003e-007
0.691, -5.070e-007
0.690, -5.013e-007
0.689, -5.022e-007
0.688, -5.105e-007
0.687, -5.082e-007
0.686, -5.095e-007
0.685, -5.117e-007
0.684, -5.172e-007
0.683, -5.172e-007
0.682, -5.247e-007
0.681, -5.237e-007
0.680, -5.254e-007
0.679, -5.315e-007
0.678, -5.248e-007
0.677, -5.310e-007
0.676, -5.376e-007
0.675, -5.399e-007
0.674, -5.455e-007
0.673, -5.419e-007
0.672, -5.406e-007
0.671, -5.491e-007
0.670, -5.487e-007
0.669, -5.526e-007
0.668, -5.544e-007
0.667, -5.562e-007
0.666, -5.686e-007
0.665, -5.742e-007
0.664, -5.636e-007
0.663, -5.715e-007
0.662, -5.738e-007
0.661, -5.717e-007
0.660, -5.768e-007
0.659, -5.716e-007
0.658, -5.809e-007
0.657, -5.842e-007
0.656, -5.843e-007
0.655, -5.898e-007
0.654, -5.861e-007
0.653, -5.871e-007
0.652, -5.911e-007
0.651, -5.920e-007
0.650, -5.959e-007
0.649, -6.011e-007
0.648, -6.046e-007
0.647, -6.044e-007
0.646, -6.057e-007
0.645, -6.060e-007
0.644, -6.123e-007
0.643, -6.111e-007
0.642, -6.166e-007
0.641, -6.164e-007
0.640, -6.298e-007
0.639, -6.226e-007
0.638, -6.219e-007
0.637, -6.284e-007
0.636, -6.267e-007
0.635, -6.269e-007
0.634, -6.329e-007
0.633, -6.350e-007
0.632, -6.377e-007
0.631, -6.408e-007
0.630, -6.430e-007
0.629, -6.433e-007
0.628, -6.435e-007
0.627, -6.389e-007
0.626, -6.472e-007
0.625, -6.541e-007
0.624, -6.580e-007
0.623, -6.620e-007
0.622, -6.567e-007
0.621, -6.577e-007
0.620, -6.631e-007
0.619, -6.617e-007
0.618, -6.670e-007
0.617, -6.696e-007
0.616, -6.722e-007
0.615, -6.769e-007
0.614, -6.983e-007
0.613, -6.791e-007
0.612, -6.817e-007
0.611, -6.809e-007
0.610, -6.805e-007
0.609, -6.832e-007
0.608, -6.823e-007
0.607, -6.882e-007
0.606, -6.883e-007
0.605, -6.939e-007
0.604, -6.934e-007
0.603, -6.969e-007
0.602, -6.968e-007
0.601, -6.956e-007
0.600, -6.977e-007
0.599, -7.041e-007
0.598, -7.041e-007
0.597, -7.158e-007
0.596, -7.086e-007
0.595, -7.082e-007
0.594, -7.123e-007
0.593, -7.138e-007
0.592, -7.178e-007
0.591, -7.202e-007
0.590, -7.202e-007
0.589, -7.325e-007
0.588, -7.379e-007
0.587, -7.250e-007
0.586, -7.287e-007
0.585, -7.311e-007
0.584, -7.297e-007
0.583, -7.278e-007
0.582, -7.277e-007
0.581, -7.346e-007
0.580, -7.371e-007
0.579, -7.409e-007
0.578, -7.431e-007
0.577, -7.459e-007
0.576, -7.380e-007
0.575, -7.465e-007
0.574, -7.475e-007
0.573, -7.537e-007
0.572, -7.532e-007
0.571, -7.538e-007
0.570, -7.547e-007
0.569, -7.522e-007
0.568, -7.564e-007
0.567, -7.638e-007
0.566, -7.611e-007
0.565, -7.658e-007
0.564, -7.655e-007
0.563, -7.732e-007
0.562, -7.679e-007
0.561, -7.728e-007
0.560, -7.749e-007
0.559, -7.782e-007
0.558, -7.769e-007
0.557, -7.766e-007
0.556, -7.797e-007
0.555, -7.827e-007
0.554, -7.860e-007
0.553, -7.837e-007
0.552, -7.874e-007
0.551, -7.914e-007
0.550, -7.818e-007
0.549, -7.916e-007
0.548, -7.941e-007
0.547, -7.940e-007
0.546, -8.021e-007
0.545, -7.994e-007
0.544, -7.965e-007
0.543, -8.014e-007
0.542, -8.036e-007
0.541, -8.054e-007
0.540, -8.096e-007
0.539, -8.103e-007
0.538, -8.182e-007
0.537, -8.176e-007
0.536, -8.139e-007
0.535, -8.183e-007
0.534, -8.208e-007
0.533, -8.208e-007
0.532, -8.220e-007
0.531, -8.210e-007
0.530, -8.271e-007
0.529, -8.279e-007
0.528, -8.250e-007
0.527, -8.314e-007
0.526, -8.268e-007
0.525, -8.272e-007
0.524, -8.324e-007
0.523, -8.292e-007
0.522, -8.359e-007
0.521, -8.394e-007
0.520, -8.400e-007
0.519, -8.423e-007
0.518, -8.419e-007
0.517, -8.413e-007
0.516, -8.491e-007
0.515, -8.517e-007
0.514, -8.501e-007
0.513, -8.541e-007
0.512, -8.874e-007
0.511, -8.712e-007
0.510, -8.563e-007
0.509, -8.630e-007
0.508, -8.606e-007
0.507, -8.647e-007
0.506, -8.622e-007
0.505, -8.643e-007
0.504, -8.653e-007
0.503, -8.755e-007
0.502, -8.737e-007
0.501, -8.733e-007
0.500, -8.802e-007
0.499, -8.709e-007
0.498, -8.784e-007
0.497, -8.801e-007
0.496, -8.866e-007
0.495, -8.883e-007
0.494, -8.832e-007
0.493, -8.821e-007
0.492, -8.831e-007
0.491, -8.859e-007
0.490, -8.940e-007
0.489, -8.941e-007
0.488, -8.946e-007
0.487, -9.004e-007
0.486, -9.109e-007
0.485, -8.970e-007
0.484, -9.048e-007
0.483, -9.080e-007
0.482, -9.087e-007
0.481, -9.044e-007
0.480, -9.030e-007
0.479, -9.102e-007
0.478, -9.076e-007
0.477, -9.195e-007
0.476, -9.146e-007
0.475, -9.152e-007
0.474, -9.177e-007
0.473, -9.177e-007
0.472, -9.179e-007
0.471, -9.229e-007
0.470, -9.271e-007
0.469, -9.245e-007
0.468, -9.309e-007
0.467, -9.212e-007
0.466, -9.310e-007
0.465, -9.338e-007
0.464, -9.355e-007
0.463, -9.373e-007
0.462, -9.429e-007
0.461, -9.440e-007
0.460, -9.459e-007
0.459, -9.400e-007
0.458, -9.492e-007
0.457, -9.460e-007
0.456, -9.459e-007
0.455, -9.435e-007
0.454, -9.479e-007
0.453, -9.477e-007
0.452, -9.523e-007
0.451, -9.521e-007
0.450, -9.573e-007
0.449, -9.569e-007
0.448, -9.549e-007
0.447, -9.601e-007
0.446, -9.601e-007
0.445, -9.606e-007
0.444, -9.726e-007
0.443, -9.649e-007
0.442, -9.616e-007
0.441, -9.661e-007
0.440, -9.690e-007
0.439, -9.741e-007
0.438, -9.790e-007
0.437, -9.741e-007
0.436, -9.730e-007
0.435, -9.911e-007
0.434, -9.826e-007
0.433, -9.793e-007
0.432, -9.814e-007
0.431, -9.848e-007
0.430, -9.834e-007
0.429, -9.833e-007
0.428, -9.858e-007
0.427, -9.899e-007
0.426, -9.959e-007
0.425, -1.000e-006
0.424, -9.940e-007
0.423, -9.988e-007
0.422, -9.942e-007
0.421, -9.988e-007
0.420, -1.004e-006
0.419, -1.002e-006
0.418, -1.002e-006
0.417, -1.004e-006
0.416, -9.972e-007
0.415, -1.005e-006
0.414, -1.010e-006
0.413, -1.012e-006
0.412, -1.016e-006
0.411, -1.012e-006
0.410, -9.778e-007
0.409, -9.487e-007
0.408, -1.011e-006
0.407, -1.015e-006
0.406, -1.019e-006
0.405, -1.021e-006
0.404, -1.028e-006
0.403, -1.019e-006
0.402, -1.026e-006
0.401, -1.027e-006
0.400, -1.027e-006
0.399, -1.031e-006
0.398, -1.029e-006
0.397, -1.026e-006
0.396, -1.030e-006
0.395, -1.031e-006
0.394, -1.037e-006
0.393, -1.042e-006
0.392, -1.041e-006
0.391, -1.040e-006
0.390, -1.044e-006
0.389, -1.044e-006
0.388, -1.045e-006
0.387, -1.049e-006
